".model","RMSE","MAE","MAPE","h","i"
"ets",3728.5233190303,3728.5233190303,0.625190843661286,1,139
"nnetar",34144.5543519275,34144.5543519275,5.72528610261502,1,139
"nnetarc",33117.1683457844,33117.1683457844,5.55301620673746,1,139
"nnetarx0",23604.1142132117,23604.1142132117,3.95788756463327,1,139
"nnetarx01",19176.9735190959,19176.9735190959,3.21555404845687,1,139
"nnetarx012",15248.2919470994,15248.2919470994,2.55680109552862,1,139
"nnetarx01c",18681.7731513249,18681.7731513249,3.13251990619257,1,139
"nnetarx0c",19879.2684866693,19879.2684866693,3.33331337184243,1,139
"prophet",7967.04509361554,7967.04509361554,1.33589714140783,1,139
"prophetc",32106.3413512997,32106.3413512997,5.38352289064312,1,139
"prophetx0",6885.9572369596,6885.9572369596,1.15462263368919,1,139
"prophetx01",3033.18289370509,3033.18289370509,0.508597643097926,1,139
"prophetx012",2849.98234039266,2849.98234039266,0.477878964767546,1,139
"prophetx01c",3991.80705756391,3991.80705756391,0.669337699811012,1,139
"prophetx0c",18758.8965891565,18758.8965891565,3.14545179987763,1,139
"sarima",19453.1827480134,19453.1827480134,3.26186822328651,1,139
"sarimac",19829.1325473529,19829.1325473529,3.32490668439086,1,139
"sarimax0",19880.229208205,19880.229208205,3.33347446358198,1,139
"sarimax01",1550.53973590455,1550.53973590455,0.25999119830438,1,139
"sarimax012",3171.40991171217,3171.40991171217,0.531775254878856,1,139
"sarimax01c",2587.55819615198,2587.55819615198,0.433876243556836,1,139
"sarimax0c",25566.5882407619,25566.5882407619,4.28695102701938,1,139
"ets",879.000021516113,879.000021516113,0.145730390705806,1,140
"nnetar",24676.033183376,24676.033183376,4.09106697253579,1,140
"nnetarc",22405.371619089,22405.371619089,3.71461146761619,1,140
"nnetarx0",28535.0169115864,28535.0169115864,4.73085217466749,1,140
"nnetarx01",24555.3814698929,24555.3814698929,4.07106399083519,1,140
"nnetarx012",25751.6976714423,25751.6976714423,4.26940258377262,1,140
"nnetarx01c",26789.8333229708,26789.8333229708,4.44151624748099,1,140
"nnetarx0c",26123.2147338734,26123.2147338734,4.33099681054929,1,140
"prophet",1934.47772469313,1934.47772469313,0.320719212435243,1,140
"prophetc",35676.2351110633,35676.2351110633,5.91480267847998,1,140
"prophetx0",25135.6010049768,25135.6010049768,4.16725923255666,1,140
"prophetx01",11404.4688574901,11404.4688574901,1.89075956963872,1,140
"prophetx012",8476.74079841829,8476.74079841829,1.40536828012205,1,140
"prophetx01c",10083.3500053869,10083.3500053869,1.67172980652934,1,140
"prophetx0c",29986.7995798538,29986.7995798538,4.97154483711089,1,140
"sarima",5405.43371569365,5405.43371569365,0.896172864664638,1,140
"sarimac",7196.19539965305,7196.19539965305,1.19306523494498,1,140
"sarimax0",6930.29589456785,6930.29589456785,1.14898146041024,1,140
"sarimax01",307.538127674372,307.538127674372,0.0509870880612905,1,140
"sarimax012",4061.91432942043,4061.91432942043,0.67342929209371,1,140
"sarimax01c",2062.84549897863,2062.84549897863,0.342001448433819,1,140
"sarimax0c",8357.58896569139,8357.58896569139,1.38561396531936,1,140
"ets",7324.51414508268,7324.51414508268,1.19902904864406,1,141
"nnetar",28134.7305589333,28134.7305589333,4.60567875871772,1,141
"nnetarc",27697.6845709032,27697.6845709032,4.53413396750542,1,141
"nnetarx0",27701.2857642324,27701.2857642324,4.53472348584424,1,141
"nnetarx01",28875.9514306406,28875.9514306406,4.72701723100874,1,141
"nnetarx012",24321.7623624004,24321.7623624004,3.98149269823093,1,141
"nnetarx01c",18499.5573500374,18499.5573500374,3.02839290229825,1,141
"nnetarx0c",28304.5759846242,28304.5759846242,4.63348259596191,1,141
"prophet",30049.4321796538,30049.4321796538,4.91911700421158,1,141
"prophetc",38935.6675494029,38935.6675494029,6.37380111436114,1,141
"prophetx0",21370.2364817614,21370.2364817614,3.49832546029382,1,141
"prophetx01",16916.360049925,16916.360049925,2.76922218940612,1,141
"prophetx012",12787.8562709911,12787.8562709911,2.09338269202433,1,141
"prophetx01c",15629.3833235527,15629.3833235527,2.55854303044985,1,141
"prophetx0c",27872.4700648868,27872.4700648868,4.56274649803192,1,141
"sarima",23657.0695122581,23657.0695122581,3.87268192662749,1,141
"sarimac",23369.0218443832,23369.0218443832,3.82552828416945,1,141
