".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",45083.9080273884,45083.9080273884,19.0915399911023,NA,NA,NA,1,142
"bu",43237.6433606317,43237.6433606317,18.3097081299839,NA,NA,NA,1,142
"mint",37890.1935151855,37890.1935151855,16.0452404509014,NA,NA,NA,1,142
"ols",45940.6525197776,45940.6525197776,19.4543428725355,NA,NA,NA,1,142
"wlss",45193.0375905585,45193.0375905585,19.1377527421843,NA,NA,NA,1,142
"wlsv",44407.9640860075,44407.9640860075,18.8053001473696,NA,NA,NA,1,142
"base",2163.77334505387,2163.77334505387,1.13804342535087,NA,NA,NA,1,143
"bu",4653.84536680934,4653.84536680934,2.44770467036377,NA,NA,NA,1,143
"mint",4799.3406021547,4799.3406021547,2.52422834895661,NA,NA,NA,1,143
"ols",2181.3782239976,2181.3782239976,1.1473027670383,NA,NA,NA,1,143
"wlss",2956.36178455545,2956.36178455545,1.55490781858585,NA,NA,NA,1,143
"wlsv",2833.54528610027,2833.54528610027,1.49031209329371,NA,NA,NA,1,143
"base",11352.4756356668,11352.4756356668,6.32922384156797,NA,NA,NA,1,144
"bu",14607.9023969511,14607.9023969511,8.14418696796,NA,NA,NA,1,144
"mint",19001.2813927999,19001.2813927999,10.5935803846882,NA,NA,NA,1,144
"ols",12383.9407949683,12383.9407949683,6.90428553626011,NA,NA,NA,1,144
"wlss",13245.8997664165,13245.8997664165,7.38484426614657,NA,NA,NA,1,144
"wlsv",13122.262180666,13122.262180666,7.31591393054761,NA,NA,NA,1,144
"base",31175.6308563391,31175.6308563391,14.0888339410152,NA,NA,NA,1,145
"bu",28736.6775114168,28736.6775114168,12.9866266168126,NA,NA,NA,1,145
"mint",29420.6419067519,29420.6419067519,13.2957225524121,NA,NA,NA,1,145
"ols",30538.8329900757,30538.8329900757,13.8010534167615,NA,NA,NA,1,145
"wlss",29767.6572078187,29767.6572078187,13.4525450710726,NA,NA,NA,1,145
"wlsv",29865.2333316723,29865.2333316723,13.4966414940741,NA,NA,NA,1,145
"base",3638.77053827388,3638.77053827388,1.87624486991986,NA,NA,NA,1,146
"bu",647.434977983212,647.434977983212,0.333834338623594,NA,NA,NA,1,146
"mint",1468.0594197663,1468.0594197663,0.756969675911653,NA,NA,NA,1,146
"ols",2956.8071214646,2956.8071214646,1.52460676886269,NA,NA,NA,1,146
"wlss",3329.47559854231,3329.47559854231,1.71676434267595,NA,NA,NA,1,146
"wlsv",2933.45655477626,2933.45655477626,1.51256660845743,NA,NA,NA,1,146
"base",40671.116092484,40671.116092484,17.5176662528143,NA,NA,NA,1,147
"bu",38952.7108109299,38952.7108109299,16.7775230479687,NA,NA,NA,1,147
"mint",38186.4956556726,38186.4956556726,16.4475025651985,NA,NA,NA,1,147
"ols",41970.3620936799,41970.3620936799,18.0772712013851,NA,NA,NA,1,147
"wlss",40191.206946157,40191.206946157,17.3109621083322,NA,NA,NA,1,147
"wlsv",40109.341664656,40109.341664656,17.275701490557,NA,NA,NA,1,147
"base",25828.9633758854,25828.9633758854,11.7515484530308,NA,NA,NA,1,148
"bu",26780.6079631836,26780.6079631836,12.1845235327872,NA,NA,NA,1,148
"mint",23122.934123343,23122.934123343,10.5203711342283,NA,NA,NA,1,148
"ols",26338.9691760304,26338.9691760304,11.983588654742,NA,NA,NA,1,148
"wlss",26361.0412452476,26361.0412452476,11.993630907971,NA,NA,NA,1,148
"wlsv",26715.6187595795,26715.6187595795,12.154955030019,NA,NA,NA,1,148
"base",12250.5538664013,12250.5538664013,5.83715496416924,NA,NA,NA,1,149
"bu",15802.8050922956,15802.8050922956,7.52973483470669,NA,NA,NA,1,149
"mint",11279.5790196295,11279.5790196295,5.37450399273342,NA,NA,NA,1,149
"ols",14468.9143297331,14468.9143297331,6.89416136013049,NA,NA,NA,1,149
"wlss",15661.1198553906,15661.1198553906,7.46222452513464,NA,NA,NA,1,149
"wlsv",15586.6309712595,15586.6309712595,7.42673199438681,NA,NA,NA,1,149
"base",46646.5512530362,46646.5512530362,19.4548693958477,NA,NA,NA,1,150
"bu",44829.4318656024,44829.4318656024,18.6970037142581,NA,NA,NA,1,150
"mint",45802.3075102877,45802.3075102877,19.102760798058,NA,NA,NA,1,150
"ols",46670.2926851644,46670.2926851644,19.4647712310085,NA,NA,NA,1,150
"wlss",45999.1720396304,45999.1720396304,19.1848670546655,NA,NA,NA,1,150
"wlsv",46078.3890256633,46078.3890256633,19.2179060698939,NA,NA,NA,1,150
"base",48935.4285919862,48935.4285919862,19.8093480164457,NA,NA,NA,1,151
"bu",51337.4118261264,51337.4118261264,20.7816848935063,NA,NA,NA,1,151
"mint",47011.3522850677,47011.3522850677,19.030470661723,NA,NA,NA,1,151
"ols",50619.2818277177,50619.2818277177,20.4909816654189,NA,NA,NA,1,151
"wlss",51068.6518741314,51068.6518741314,20.6728892913191,NA,NA,NA,1,151
"wlsv",50634.4875197407,50634.4875197407,20.4971370185809,NA,NA,NA,1,151
