".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",4761.83342768748,4761.83342768748,23.9900665000332,10223.1094685294,10223.1094685294,20.2488728040638,1,142
"bu",4810.44125937847,4810.44125937847,24.3842040805847,10468.491084665,10468.491084665,22.3912499704853,1,142
"mint",4218.63694911071,4218.63694911071,22.6835930437817,9468.65386954193,9468.65386954193,34.818867236141,1,142
"ols",5115.94254309918,5115.94254309918,37.8240143596594,10910.3004575558,10910.3004575558,46.7168769941178,1,142
"wlss",5030.39901849674,5030.39901849674,30.4490167814284,10736.6509954584,10736.6509954584,34.2699367740723,1,142
"wlsv",4940.18732286339,4940.18732286339,23.8909219891004,10832.1841648573,10832.1841648573,21.3118702288418,1,142
"base",1058.93953510524,1058.93953510524,21.2921233328953,1898.52392020744,1898.52392020744,35.6042983226165,1,143
"bu",1068.46331601068,1068.46331601068,21.1166119113494,1935.84071183751,1935.84071183751,34.8870947296055,1,143
"mint",990.043374471968,990.043374471968,24.4824587657858,1720.44784062826,1720.44784062826,40.7860241694472,1,143
"ols",1063.60405105438,1063.60405105438,48.6742090321325,1795.21852267856,1795.21852267856,98.5994633318253,1,143
"wlss",1058.39403653758,1058.39403653758,25.6539567148845,1836.47118269455,1836.47118269455,44.2789741073706,1,143
"wlsv",867.617088727976,867.617088727976,20.4121514896623,1447.96254110679,1447.96254110679,34.5186193625929,1,143
"base",1657.97311069308,1657.97311069308,24.0595088638676,2250.15486130464,2250.15486130464,18.3459000000696,1,144
"bu",1654.94364309678,1654.94364309678,23.9530830709947,2244.06661911818,2244.06661911818,19.1336511683013,1,144
"mint",2139.10567605033,2139.10567605033,31.8663121410027,2918.16006923962,2918.16006923962,19.7125028276798,1,144
"ols",1437.58764245473,1437.58764245473,36.2566546717913,1799.01876959852,1799.01876959852,27.1981880049223,1,144
"wlss",1515.86768425537,1515.86768425537,28.5639795319016,1970.27209926337,1970.27209926337,18.6896160117851,1,144
"wlsv",1489.7460659823,1489.7460659823,24.5607761093328,1975.11253704307,1975.11253704307,19.7410457153015,1,144
"base",3231.95561058165,3231.95561058165,15.379356679922,7107.01059643059,7107.01059643059,16.0037932949227,1,145
"bu",3232.6080431506,3232.6080431506,15.3806291600023,7164.51083093588,7164.51083093588,15.4554131201134,1,145
"mint",3314.39660722173,3314.39660722173,15.7361192606809,7416.2242858363,7416.2242858363,14.9659041576882,1,145
"ols",3420.58306418338,3420.58306418338,31.3279664721401,7448.10611961944,7448.10611961944,36.2098566109755,1,145
"wlss",3336.98889990168,3336.98889990168,26.2164604488344,7198.10596463547,7198.10596463547,26.3383270672069,1,145
"wlsv",3363.30407395757,3363.30407395757,15.9417331443707,7549.76656725623,7549.76656725623,15.2489319102105,1,145
"base",364.428415427321,364.428415427321,20.768962813839,236.12144034443,236.12144034443,19.137049651155,1,146
"bu",363.523181283023,363.523181283023,20.6365056781215,248.046772184192,248.046772184192,18.8174293148756,1,146
"mint",470.198372249073,470.198372249073,20.2873077864972,391.803367837033,391.803367837033,18.2436428769866,1,146
"ols",404.853259556398,404.853259556398,38.6636746958578,245.988485129024,245.988485129024,47.870018453717,1,146
"wlss",474.932175528375,474.932175528375,37.936618452592,527.973834255809,527.973834255809,49.1916218000196,1,146
"wlsv",543.427315738109,543.427315738109,20.3032670816685,688.433246628855,688.433246628855,18.7361108402212,1,146
"base",4595.49679836985,4595.49679836985,23.5990485752504,10029.923450464,10029.923450464,16.4124089522747,1,147
"bu",4597.26122890496,4597.26122890496,24.1952282524406,9960.02094413503,9960.02094413503,16.6789563239758,1,147
"mint",4555.81448552562,4555.81448552562,24.506767577296,9871.39995727889,9871.39995727889,15.0986035176062,1,147
"ols",4837.31097644111,4837.31097644111,67.4126237019895,10291.4643132879,10291.4643132879,109.143440659592,1,147
"wlss",4688.00150767409,4688.00150767409,33.6646611211355,10056.1340778822,10056.1340778822,31.9327879321623,1,147
"wlsv",4696.81863987988,4696.81863987988,23.605276332324,10300.4267246954,10300.4267246954,16.852001239945,1,147
"base",2960.57062814162,2960.57062814162,26.4133710523444,5718.54004370768,5718.54004370768,20.1775351016298,1,148
"bu",3084.20374367976,3084.20374367976,26.4468951151908,6054.0462352346,6054.0462352346,20.2753283770236,1,148
"mint",2726.18887671489,2726.18887671489,23.8912083693588,5264.75814550264,5264.75814550264,19.1363222068828,1,148
"ols",3092.60829159902,3092.60829159902,20.039104090615,6255.47511198084,6255.47511198084,20.1592879395615,1,148
"wlss",3072.07907199897,3072.07907199897,20.2278126171968,5984.00367150274,5984.00367150274,13.9204895446168,1,148
"wlsv",3066.3239356158,3066.3239356158,26.5026780694236,6005.13724452612,6005.13724452612,20.0512458084355,1,148
"base",2023.27312178324,2023.27312178324,24.5587905281973,3629.23036797593,3629.23036797593,18.8430971937924,1,149
"bu",2009.92482279431,2009.92482279431,24.730765561094,3560.01796057654,3560.01796057654,18.6623928604102,1,149
"mint",1584.55988842024,1584.55988842024,23.3613171605381,2576.94308356663,2576.94308356663,17.5074624817676,1,149
"ols",2106.5856382217,2106.5856382217,35.1176771493904,3816.88079421693,3816.88079421693,51.3740603414572,1,149
"wlss",2074.8597461087,2074.8597461087,18.152566258567,3752.00397079428,3752.00397079428,16.1497103822266,1,149
"wlsv",1971.01184344402,1971.01184344402,24.3090761463523,3482.71684556419,3482.71684556419,18.6573681604586,1,149
"base",5189.21321690895,5189.21321690895,28.6100129274261,13524.1994917632,13524.1994917632,18.2039355353812,1,150
"bu",5159.45978919827,5159.45978919827,28.3438624102491,13492.4304431462,13492.4304431462,18.3712774085895,1,150
"mint",5292.38029715596,5292.38029715596,28.3373285512492,13888.509084639,13888.509084639,17.7054462341913,1,150
"ols",5363.28116398939,5363.28116398939,31.8161027030306,13754.4795299776,13754.4795299776,24.0996802696343,1,150
"wlss",5299.51284486818,5299.51284486818,29.1175136619311,13680.4188463422,13680.4188463422,19.1308117769977,1,150
