".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",15522.6470481688,15522.6470481688,16.8441579209587,25586.6165804031,25586.6165804031,8.49968133484237,1,142
"bu",14412.5477868772,14412.5477868772,17.5148868615978,23154.8351912792,23154.8351912792,5.23170883634326,1,142
"mint",12630.0645050618,12630.0645050618,12.0807831678661,21038.2867480944,21038.2867480944,6.56117208905294,1,142
"ols",15313.5508399259,15313.5508399259,21.7515392764567,24565.7888236703,24565.7888236703,12.1013557475747,1,142
"wlss",15064.3458635195,15064.3458635195,19.2358581759133,24240.7385997263,24240.7385997263,7.82813592271469,1,142
"wlsv",14802.6546953358,14802.6546953358,17.3853695126039,23981.1657071882,23981.1657071882,6.26973171358963,1,142
"base",311.621063596807,311.621063596807,6.11301297883728,311.219313103775,311.219313103775,6.03168302951723,1,143
"bu",1551.28178893645,1551.28178893645,8.58276277915673,1616.30623951846,1616.30623951846,6.12649022529396,1,143
"mint",1599.78020071824,1599.78020071824,10.2293070358053,1495.86990570832,1495.86990570832,7.66627588281018,1,143
"ols",751.561072959352,751.561072959352,2.52254424106052,888.169472927949,888.169472927949,1.74770555581762,1,143
"wlss",985.453928185151,985.453928185151,5.15614601149887,1044.02622284984,1044.02622284984,3.52186208139962,1,143
"wlsv",944.515095366761,944.515095366761,7.26473193958976,748.467327744762,748.467327744762,5.73912500175563,1,143
"base",4312.44006801647,4312.44006801647,21.2866658492294,4216.89840433108,4216.89840433108,28.0748721150518,1,144
"bu",4869.30079898372,4869.30079898372,19.9399900130177,5380.29014806248,5380.29014806248,23.4366109685076,1,144
"mint",6333.76046426662,6333.76046426662,27.1734354528634,7039.77881426578,7039.77881426578,27.0097099600194,1,144
"ols",4234.10266988543,4234.10266988543,20.8972930779697,4238.79721121286,4238.79721121286,24.2301924934698,1,144
"wlss",4415.29992213882,4415.29992213882,17.863892734737,4724.05006812032,4724.05006812032,26.0194070011223,1,144
"wlsv",4374.08739355534,4374.08739355534,20.0335855248366,4504.51002615402,4504.51002615402,25.0419889152525,1,144
"base",10308.9748191492,10308.9748191492,12.8671370563061,17231.2385617034,17231.2385617034,10.7751559716784,1,145
"bu",9578.89250380559,9578.89250380559,12.6841547572479,15887.6089240869,15887.6089240869,10.1593490967359,1,145
"mint",9806.88063558395,9806.88063558395,12.4081307616971,16380.2325023416,16380.2325023416,10.4727986484726,1,145
"ols",10179.6109966919,10179.6109966919,15.4975079883131,16624.2564476599,16624.2564476599,12.3860576955055,1,145
"wlss",9922.55240260623,9922.55240260623,14.4828262829264,16254.2132562681,16254.2132562681,11.197184632295,1,145
"wlsv",9955.07777722411,9955.07777722411,12.8767480645092,16571.8117112936,16571.8117112936,10.589593757482,1,145
"base",1220.79732508501,1220.79732508501,12.2817824371786,1151.14332758678,1151.14332758678,18.4761098801096,1,146
"bu",510.056223918558,510.056223918558,11.6566650441063,431.3008404544,431.3008404544,19.1143298527067,1,146
"mint",489.353139922098,489.353139922098,11.020516046204,456.465563507064,456.465563507064,18.6556976283484,1,146
"ols",985.602373821522,985.602373821522,16.5755433236964,352.527397988773,352.527397988773,23.9156017270505,1,146
"wlss",1109.8251995141,1109.8251995141,14.9587710391568,517.112162726446,517.112162726446,20.894650502869,1,146
"wlsv",977.818851592085,977.818851592085,12.1241043932108,783.089502753885,783.089502753885,18.6858934973698,1,146
"base",14054.4885744872,14054.4885744872,18.7581888758475,23069.4512501164,23069.4512501164,14.0265281216521,1,147
"bu",13527.3595539754,13527.3595539754,19.4386164367915,21899.786746624,21899.786746624,12.9536406392182,1,147
"mint",13413.4552265826,13413.4552265826,19.0914812390496,21587.1551853419,21587.1551853419,10.6186519848046,1,147
"ols",13990.1206978933,13990.1206978933,21.8655336565156,23065.9624963332,23065.9624963332,23.5827410591078,1,147
"wlss",13733.2119508719,13733.2119508719,19.4221166876179,22467.4977649576,22467.4977649576,15.5071886501341,1,147
"wlsv",13826.1919386286,13826.1919386286,19.1626422335875,22533.2750414739,22533.2750414739,13.4274283835118,1,147
"base",9931.09710066822,9931.09710066822,17.8302812392417,15690.7656816112,15690.7656816112,14.1485551803019,1,148
"bu",8926.8693210612,8926.8693210612,16.7730975290539,14144.3854843026,14144.3854843026,15.0755470775069,1,148
"mint",7707.64470778101,7707.64470778101,13.6317684062212,12517.3174285654,12517.3174285654,14.2840943950099,1,148
"ols",8817.89283608993,8817.89283608993,8.35774099942559,14923.8369654011,14923.8369654011,6.84867740640185,1,148
"wlss",8787.01374841586,8787.01374841586,12.9922444152479,14503.4259676677,14503.4259676677,12.6406567536854,1,148
"wlsv",8905.20625319316,8905.20625319316,16.9497957242571,14033.5078289095,14033.5078289095,14.7427889206072,1,148
"base",6487.48097071652,6487.48097071652,12.8937433089264,10430.3787780012,10430.3787780012,13.4748233580938,1,149
"bu",5565.91778122916,5565.91778122916,13.4375881698745,8570.56850410204,8570.56850410204,13.1528798013877,1,149
"mint",4412.76032194136,4412.76032194136,13.0586303402687,6205.55485268506,6205.55485268506,10.0826379515132,1,149
"ols",6221.43255102142,6221.43255102142,12.3977692628483,8984.57303011646,8984.57303011646,3.5258187454535,1,149
"wlss",6014.91676941222,6014.91676941222,11.724225643389,9003.14571557705,9003.14571557705,4.06131176256195,1,149
"wlsv",5457.74336224053,5457.74336224053,13.1861956450628,8434.02376453794,8434.02376453794,13.2762749233145,1,149
"base",15996.7655249836,15996.7655249836,17.8167496167475,26722.9903446141,26722.9903446141,14.4185150856609,1,150
"bu",14943.1439552008,14943.1439552008,17.5237601182286,24879.7365685798,24879.7365685798,14.4772558906995,1,150
"mint",15267.4358367626,15267.4358367626,16.9833311290657,25576.6760742756,25576.6760742756,14.5730732599338,1,150
"ols",15556.7642283881,15556.7642283881,18.1616094320861,25856.7667448856,25856.7667448856,14.3464622969121,1,150
"wlss",15333.0573465435,15333.0573465435,17.3848489333362,25597.500121719,25597.500121719,14.3114833145046,1,150
"wlsv",15359.4630085544,15359.4630085544,17.6650919181201,25621.547155564,25621.547155564,14.666006989223,1,150
"base",19174.9623814718,19174.9623814718,20.3177857593411,31357.4673997892,31357.4673997892,4.14793315430603,1,151
"bu",18210.7875360656,18210.7875360656,20.5280868408783,29602.6722935017,29602.6722935017,3.65643524743079,1,151
"mint",17164.0381875826,17164.0381875826,20.1658436334743,27408.5677308851,27408.5677308851,2.42182443677647,1,151
"ols",18731.0175899762,18731.0175899762,19.1244930292972,30051.5028786094,30051.5028786094,8.49886053910695,1,151
"wlss",18470.7374568427,18470.7374568427,19.1804561902377,29821.4624679985,29821.4624679985,4.98277829931623,1,151
"wlsv",18011.1512148884,18011.1512148884,20.3490255382092,29230.2682021258,29230.2682021258,3.04482958738713,1,151
"base",17092.4804488057,17092.4804488057,21.0124427574326,27617.7160872256,27617.7160872256,5.41048225651531,1,152
"bu",16631.3368685425,16631.3368685425,21.2417630400037,26705.0269773551,26705.0269773551,4.80839774200878,1,152
"mint",16591.5235691522,16591.5235691522,20.8448565942775,26619.4187646569,26619.4187646569,3.50904396700703,1,152
