".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",1647.96907987309,1647.96907987309,0.697860255889614,NA,NA,NA,1,142
"bu",1800.56406626949,1800.56406626949,0.762479172321146,NA,NA,NA,1,142
"mint",4636.4087715444,4636.4087715444,1.96336536360743,NA,NA,NA,1,142
"ols",2059.31605369726,2059.31605369726,0.8720520583441,NA,NA,NA,1,142
"wlss",2281.88122739247,2281.88122739247,0.966301028767149,NA,NA,NA,1,142
"wlsv",2211.38229807245,2211.38229807245,0.936447070063626,NA,NA,NA,1,142
"base",41870.2103681985,41870.2103681985,22.0217693948901,NA,NA,NA,1,143
"bu",35721.0723125941,35721.0723125941,18.7876108118056,NA,NA,NA,1,143
"mint",41664.0848473096,41664.0848473096,21.9133570261081,NA,NA,NA,1,143
"ols",40555.2299044113,40555.2299044113,21.3301512664486,NA,NA,NA,1,143
"wlss",38687.3603967562,38687.3603967562,20.3477393990229,NA,NA,NA,1,143
"wlsv",38205.8876588565,38205.8876588565,20.0945072917391,NA,NA,NA,1,143
"base",19496.24094309,19496.24094309,10.8695298680296,NA,NA,NA,1,144
"bu",25211.3976264641,25211.3976264641,14.0558398060191,NA,NA,NA,1,144
"mint",10791.6746066108,10791.6746066108,6.01656646555693,NA,NA,NA,1,144
"ols",20102.0443676721,20102.0443676721,11.2072769463957,NA,NA,NA,1,144
"wlss",21601.3161836431,21601.3161836431,12.0431498632088,NA,NA,NA,1,144
"wlsv",22197.4069594445,22197.4069594445,12.3754819527918,NA,NA,NA,1,144
"base",19900.6042337076,19900.6042337076,8.99344458069115,NA,NA,NA,1,145
"bu",27676.2521767131,27676.2521767131,12.5074011436752,NA,NA,NA,1,145
"mint",24226.3749059656,24226.3749059656,10.9483389322826,NA,NA,NA,1,145
"ols",20685.9360304637,20685.9360304637,9.34835028649972,NA,NA,NA,1,145
"wlss",22429.7132139088,22429.7132139088,10.1363948743029,NA,NA,NA,1,145
"wlsv",23034.3406214986,23034.3406214986,10.4096369838524,NA,NA,NA,1,145
"base",30738.918488951,30738.918488951,15.8497870407453,NA,NA,NA,1,146
"bu",24218.7418679813,24218.7418679813,12.4878141415503,NA,NA,NA,1,146
"mint",28285.5204008892,28285.5204008892,14.5847510819841,NA,NA,NA,1,146
"ols",30084.7186981197,30084.7186981197,15.5124645884116,NA,NA,NA,1,146
"wlss",28608.1380651435,28608.1380651435,14.7511011530138,NA,NA,NA,1,146
"wlsv",28085.5106430537,28085.5106430537,14.4816208411169,NA,NA,NA,1,146
