".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",233.552873369276,233.552873369276,13.3018284869934,396.798444261951,396.798444261951,25.2138094359424,1,142
"bu",233.552873369276,233.552873369276,13.3018284869934,396.798444261951,396.798444261951,25.2138094359424,1,142
"mint",549.733196614463,549.733196614463,14.7104050550159,1086.54175873472,1086.54175873472,25.8182085823382,1,142
"ols",322.412835382739,322.412835382739,24.2293249002573,445.11768506308,445.11768506308,41.486149254875,1,142
"wlss",301.143931029582,301.143931029582,19.7194395807744,457.038935497864,457.038935497864,40.5938824223614,1,142
"wlsv",280.994577183564,280.994577183564,13.9702561646894,474.710409631088,474.710409631088,25.5365094767893,1,142
"base",3972.75722467689,3972.75722467689,16.6883170599159,9184.80986528401,9184.80986528401,10.4765228604809,1,143
"bu",3972.75722467689,3972.75722467689,16.6883170599159,9184.80986528401,9184.80986528401,10.4765228604809,1,143
"mint",4629.69212438689,4629.69212438689,17.7507267451846,10734.9324172788,10734.9324172788,12.2573001473935,1,143
"ols",4506.13665604571,4506.13665604571,210.389723302843,9420.49972680545,9420.49972680545,455.700428100842,1,143
"wlss",4298.59559963958,4298.59559963958,149.086987290072,9327.40376479023,9327.40376479023,328.158756145003,1,143
"wlsv",4247.63874933222,4247.63874933222,17.0309498499184,9858.5326702294,9858.5326702294,11.1919298941184,1,143
"base",2842.77609632563,2842.77609632563,25.3951543692668,4912.81243157368,4912.81243157368,14.5712073618132,1,144
"bu",2842.77609632563,2842.77609632563,25.3951543692668,4912.81243157368,4912.81243157368,14.5712073618132,1,144
"mint",1261.28407023361,1261.28407023361,25.330526107155,2210.3737352234,2210.3737352234,20.5302424209848,1,144
"ols",2543.24703671483,2543.24703671483,134.87988090898,4428.72784056911,4428.72784056911,287.823546507556,1,144
"wlss",2618.48284775785,2618.48284775785,102.491386612317,4566.09866528916,4566.09866528916,205.543424830094,1,144
"wlsv",2510.29364002129,2510.29364002129,23.1350360447569,4349.11823297508,4349.11823297508,11.1923934870275,1,144
"base",3075.1391307459,3075.1391307459,17.6984141948014,5528.05245654957,5528.05245654957,6.19933368354321,1,145
"bu",3075.1391307459,3075.1391307459,17.6984141948014,5528.05245654957,5528.05245654957,6.19933368354321,1,145
"mint",2691.81943399617,2691.81943399617,17.9180611308194,4690.37760271446,4690.37760271446,6.6602641154871,1,145
"ols",2353.61192865641,2353.61192865641,32.3800087783447,4286.35287346598,4286.35287346598,64.3871348734938,1,145
"wlss",2527.30234185389,2527.30234185389,34.8286215769128,4630.25474442028,4630.25474442028,76.283426046712,1,145
