".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",1234.61048782111,1234.61048782111,5.56952562267864,1080.61615426097,1080.61615426097,4.21179561879452,1,142
"bu",689.644236785877,689.644236785877,3.84091239434836,539.990147383587,539.990147383587,2.85010294854041,1,142
"mint",1636.47175203624,1636.47175203624,4.87315576656395,1927.64830930664,1927.64830930664,2.85652826361002,1,142
"ols",967.238506148218,967.238506148218,8.04122211518425,641.046629035957,641.046629035957,8.40216086756496,1,142
"wlss",903.431793088751,903.431793088751,5.20954414138725,744.613485994621,744.613485994621,4.07148207309845,1,142
"wlsv",832.464447427457,832.464447427457,4.42316989951247,662.785381686991,662.785381686991,3.28645688351355,1,142
"base",12823.5995031587,12823.5995031587,25.6457744707946,19136.6033204878,19136.6033204878,5.26121388424468,1,143
"bu",11907.024104198,11907.024104198,23.3760979282778,18271.0067937551,18271.0067937551,6.53272034267559,1,143
"mint",13888.0282824365,13888.0282824365,25.6875674287513,21342.7788432264,21342.7788432264,4.57115240999656,1,143
"ols",13518.4099681371,13518.4099681371,46.1983344138242,18752.5463097073,18752.5463097073,31.2645797408143,1,143
"wlss",12895.7867989187,12895.7867989187,34.2958270455519,18567.1319729474,18567.1319729474,15.5291186047666,1,143
"wlsv",12735.2958862855,12735.2958862855,24.3197184907052,19468.3318022406,19468.3318022406,4.92762834650914,1,143
"base",6698.76999379168,6698.76999379168,7.12268361485687,11081.8519375282,11081.8519375282,4.23982456836528,1,144
"bu",8418.45266957525,8418.45266957525,16.7006899450406,12160.2796323442,12160.2796323442,17.5035944644043,1,144
"mint",3683.11638525219,3683.11638525219,10.2686252846399,5051.84458771088,5051.84458771088,6.81593285657508,1,144
"ols",6950.46592999553,6950.46592999553,12.6462049444895,11340.3251439635,11340.3251439635,7.72210197294725,1,144
"wlss",7345.43747308764,7345.43747308764,12.7476825501892,11568.8071942297,11568.8071942297,1.08132073555699,1,144
"wlsv",7399.13565314819,7399.13565314819,12.8559597157012,11042.3464298589,11042.3464298589,12.6837938503576,1,144
"base",6570.7610771019,6570.7610771019,13.5330099951932,9424.14279681827,9424.14279681827,4.43937481330912,1,145
"bu",9225.41739223769,9225.41739223769,15.2380356443335,14066.2375955597,14066.2375955597,3.22692943465374,1,145
"mint",8075.45830198852,8075.45830198852,14.7523079900525,11989.5384534851,11989.5384534851,3.76460682937742,1,145
"ols",6959.61742551407,6959.61742551407,7.81661963738239,10937.5572079687,10937.5572079687,3.42286063668613,1,145
"wlss",7476.57107130293,7476.57107130293,8.61442408913556,11854.744910634,11854.744910634,2.08838539488039,1,145
"wlsv",7678.11354049955,7678.11354049955,14.2386733277521,11382.9058691706,11382.9058691706,3.85330520122578,1,145
"base",10518.0580820539,10518.0580820539,11.8212256207822,17255.739197929,17255.739197929,5.208653633844,1,146
"bu",8361.47609310004,8361.47609310004,11.3696660832206,13528.3705905388,13528.3705905388,4.96846182905892,1,146
"mint",9694.84222794089,9694.84222794089,11.6650407973867,15888.9922743889,15888.9922743889,5.41846473484218,1,146
"ols",10028.2395660399,10028.2395660399,9.75440712328965,16203.3476968983,16203.3476968983,7.01323856958417,1,146
"wlss",9637.06157126283,9637.06157126283,10.5836009090575,15436.204459435,15436.204459435,5.05008325053154,1,146
"wlsv",9623.01292926642,9623.01292926642,11.7003402606754,15718.3434206676,15718.3434206676,5.01165734008661,1,146
"base",8155.73245155946,8155.73245155946,4.77164065620096,13990.8749192944,13990.8749192944,5.56972880600636,1,147
"bu",9446.9565083652,9446.9565083652,6.60447481179879,16096.3747894843,16096.3747894843,5.8224264196863,1,147
"mint",9053.12579468544,9053.12579468544,6.01888944119853,15424.0392882145,15424.0392882145,5.59127438002176,1,147
"ols",9267.6192515294,9267.6192515294,15.1697691345918,14650.0491880643,14650.0491880643,9.12906044592459,1,147
"wlss",9062.10035259331,9062.10035259331,9.04536886309767,14968.9196991493,14968.9196991493,3.6443534712474,1,147
"wlsv",9091.66895390901,9091.66895390901,5.9036366115758,15532.5530026615,15532.5530026615,5.80784198498613,1,147
"base",3243.45604005801,3243.45604005801,5.97272702020807,4693.13170483343,4693.13170483343,1.56857546733884,1,148
"bu",2785.39829623829,2785.39829623829,6.39726565328469,3703.0570315242,3703.0570315242,2.90890387800896,1,148
"mint",2631.8226035527,2631.8226035527,5.88698493426877,3553.8844999332,3553.8844999332,2.45794148036586,1,148
"ols",3337.19002102165,3337.19002102165,9.594203113159,4357.20904093675,4357.20904093675,5.30926729803682,1,148
"wlss",3162.01651796995,3162.01651796995,7.98939584947246,4162.24854424587,4162.24854424587,3.56551444913653,1,148
"wlsv",3116.87018422562,3116.87018422562,6.34397860184297,4339.02407082762,4339.02407082762,2.32054138361059,1,148
"base",3960.77876099425,3960.77876099425,4.37415894798245,6194.67523047563,6194.67523047563,3.22060238726542,1,149
"bu",3277.30848927879,3277.30848927879,3.68129844552492,5083.22083667689,5083.22083667689,3.05151748117405,1,149
"mint",3670.88807868378,3670.88807868378,3.96477086474639,5731.29608451428,5731.29608451428,3.35567928074529,1,149
"ols",3815.03143121115,3815.03143121115,5.10182566520221,5825.85633787939,5825.85633787939,2.59153113941639,1,149
"wlss",3692.02054673382,3692.02054673382,4.77355624245476,5626.75062521256,5626.75062521256,3.10042915611358,1,149
"wlsv",3647.75799349468,3647.75799349468,4.00491308783025,5698.13043734836,5698.13043734836,3.11967143343948,1,149
"base",5935.76887766892,5935.76887766892,8.81541189102701,9301.325646497,9301.325646497,3.3771007438959,1,150
"bu",7296.04003349857,7296.04003349857,8.71847327611784,11922.7815209621,11922.7815209621,4.7265534608747,1,150
"mint",7385.9309632739,7385.9309632739,9.30868682634741,11910.5373482954,11910.5373482954,3.98698336678249,1,150
"ols",6830.5805830448,6830.5805830448,14.8432440642587,10132.42710693,10132.42710693,9.97379615154695,1,150
"wlss",6752.62532750201,6752.62532750201,10.4602209087972,10573.1085843965,10573.1085843965,4.87914750199531,1,150
"wlsv",6798.44824038504,6798.44824038504,8.71855926397126,10972.1664847426,10972.1664847426,4.14985992022868,1,150
"base",4037.9142375928,4037.9142375928,12.4092587858373,4603.23348410149,4603.23348410149,13.9401353187861,1,151
"bu",5108.86832749421,5108.86832749421,13.0437591759312,6338.03139292451,6338.03139292451,14.1835093471977,1,151
"mint",5056.05837394614,5056.05837394614,12.9802787894295,6278.03896724886,6278.03896724886,13.7814558149351,1,151
"ols",4485.77940754562,4485.77940754562,15.6917064734064,5570.57700696249,5570.57700696249,9.67439295494394,1,151
"wlss",4456.54697517284,4456.54697517284,10.6165007792658,5687.95095210855,5687.95095210855,11.29990083619,1,151
"wlsv",4904.59896641074,4904.59896641074,12.9032600158901,6013.78760798555,6013.78760798555,14.0193371649715,1,151
"base",4007.7964355708,4007.7964355708,6.81245663375851,6141.83973828092,6141.83973828092,2.04211126521195,1,152
"bu",4548.65707482422,4548.65707482422,8.6336977862211,6851.86071892352,6851.86071892352,3.31621086928103,1,152
"mint",4576.75370903161,4576.75370903161,7.81338325849293,7034.91416176465,7034.91416176465,2.59923623105906,1,152
"ols",4190.96537699214,4190.96537699214,7.72680411393844,6417.63145682553,6417.63145682553,3.55465535071321,1,152
"wlss",4277.51269921428,4277.51269921428,7.73961383588545,6500.89924590154,6500.89924590154,2.76119827354905,1,152
"wlsv",4321.64113941675,4321.64113941675,7.87376640560997,6543.68850738569,6543.68850738569,2.71171163448734,1,152
"base",3641.165942061,3641.165942061,17.2518663253254,4233.22284494456,4233.22284494456,13.4892906981189,1,153
"bu",3185.72482148805,3185.72482148805,15.3101871682529,3793.2391863412,3793.2391863412,12.9646077206324,1,153
"mint",3004.52422447557,3004.52422447557,16.2672724516412,3300.35660575612,3300.35660575612,13.6995300360008,1,153
"ols",3436.1187950737,3436.1187950737,13.2984584123079,4287.60230461582,4287.60230461582,9.12290397481175,1,153
"wlss",3359.41581014758,3359.41581014758,14.745679569727,4109.59738488323,4109.59738488323,11.6718201491003,1,153
"wlsv",3448.63625315287,3448.63625315287,16.0622127806214,4129.5131843435,4129.5131843435,13.1577621057141,1,153
